timestamp,session,test_label,ping_latency_ms,ping_jitter_ms,ping_loss_%
2025-11-12T22:19:59.276110,1,VPN_ON,15.10,0.00,0.00
2025-11-12T22:20:00.252454,1,VPN_ON,10.60,0.28,0.00
2025-11-12T22:20:01.252663,1,VPN_ON,11.00,0.29,0.00
2025-11-12T22:20:02.261960,1,VPN_ON,20.80,0.88,0.00
2025-11-12T22:20:03.251324,1,VPN_ON,11.80,1.39,0.00
2025-11-12T22:20:04.250690,1,VPN_ON,11.20,1.34,0.00
2025-11-12T22:20:05.256407,1,VPN_ON,15.60,1.53,0.00
2025-11-12T22:20:06.252258,1,VPN_ON,10.90,1.73,0.00
2025-11-12T22:20:07.254552,1,VPN_ON,12.70,1.73,0.00
2025-11-12T22:20:08.253755,1,VPN_ON,11.30,1.71,0.00
2025-11-12T22:20:09.254338,1,VPN_ON,10.50,1.66,0.00
2025-11-12T22:20:10.255667,1,VPN_ON,12.10,1.65,0.00
2025-11-12T22:20:11.259620,1,VPN_ON,15.00,1.73,0.00
2025-11-12T22:20:12.257705,1,VPN_ON,12.10,1.80,0.00
2025-11-12T22:20:13.258838,1,VPN_ON,12.10,1.69,0.00
2025-11-12T22:20:14.268177,1,VPN_ON,20.50,2.11,0.00
2025-11-12T22:20:15.259607,1,VPN_ON,11.40,2.55,0.00
2025-11-12T22:20:16.262209,1,VPN_ON,12.70,2.47,0.00
2025-11-12T22:20:17.263626,1,VPN_ON,13.30,2.35,0.00
2025-11-12T22:20:18.263821,1,VPN_ON,12.20,2.27,0.00
2025-11-12T22:20:19.266511,1,VPN_ON,13.50,2.21,0.00
2025-11-12T22:20:20.267190,1,VPN_ON,13.60,2.08,0.00
2025-11-12T22:20:21.270234,1,VPN_ON,16.10,2.11,0.00
2025-11-12T22:20:22.267513,1,VPN_ON,12.20,2.22,0.00
2025-11-12T22:20:24.773394,1,VPN_ON,11.40,2.13,0.00
2025-11-12T22:20:25.777062,1,VPN_ON,13.60,2.14,0.00
2025-11-12T22:20:26.777501,1,VPN_ON,12.30,2.08,0.00
2025-11-12T22:20:27.779112,1,VPN_ON,12.50,1.97,0.00
2025-11-12T22:20:28.783591,1,VPN_ON,15.30,2.02,0.00
2025-11-12T22:20:29.784148,1,VPN_ON,14.60,1.94,0.00
2025-11-12T22:20:30.783923,1,VPN_ON,12.70,1.93,0.00
2025-11-12T22:20:31.784178,1,VPN_ON,12.80,1.82,0.00
2025-11-12T22:20:32.813432,1,VPN_ON,41.70,3.51,0.00
2025-11-12T22:20:34.823941,1,VPN_ON,12.10,5.14,0.00
2025-11-12T22:20:35.862158,1,VPN_ON,49.40,7.15,0.00
2025-11-12T22:20:36.825704,1,VPN_ON,13.80,8.93,0.00
2025-11-12T22:20:37.886266,1,VPN_ON,73.60,12.11,0.00
2025-11-12T22:20:38.879819,1,VPN_ON,68.60,11.66,0.00
2025-11-12T22:20:39.879054,1,VPN_ON,70.10,11.03,0.00
2025-11-12T22:20:40.873358,1,VPN_ON,68.40,10.45,0.00
2025-11-12T22:20:41.873695,1,VPN_ON,72.40,10.04,0.00
2025-11-12T22:20:42.888355,1,VPN_ON,91.00,10.58,0.00
2025-11-12T22:20:43.876410,1,VPN_ON,84.40,10.33,0.00
2025-11-12T22:20:44.853522,1,VPN_ON,66.10,10.83,0.00
2025-11-12T22:20:45.797095,1,VPN_ON,13.60,13.43,0.00
2025-11-12T22:20:46.802732,1,VPN_ON,18.60,12.91,0.00
2025-11-12T22:20:47.867447,1,VPN_ON,82.80,16.11,0.00
2025-11-12T22:20:48.846991,1,VPN_ON,63.50,16.31,0.00
2025-11-12T22:20:49.853636,1,VPN_ON,70.70,15.74,0.00
2025-11-12T22:20:50.862632,1,VPN_ON,81.10,15.41,0.00
2025-11-12T22:20:51.865532,1,VPN_ON,85.90,14.74,0.00
2025-11-12T22:20:52.834425,1,VPN_ON,56.90,15.64,0.00
2025-11-12T22:20:53.846358,1,VPN_ON,69.80,15.46,0.00
