timestamp,test_label,tcp_throughput_mbps
2025-11-18T21:23:08.453132,VPN_ON,32.193733
2025-11-18T21:23:23.957417,VPN_ON,43.938233
2025-11-18T21:23:39.635588,VPN_ON,41.509386
2025-11-18T21:23:55.031640,VPN_ON,42.195719
2025-11-18T21:24:10.539240,VPN_ON,42.211884
2025-11-18T21:24:26.224345,VPN_ON,43.636392
2025-11-18T21:24:41.604523,VPN_ON,44.858045
2025-11-18T21:24:56.958940,VPN_ON,43.672868
2025-11-18T21:25:12.247517,VPN_ON,43.028434
2025-11-18T21:25:27.495122,VPN_ON,39.186084
2025-11-18T21:25:43.135481,VPN_ON,40.89946
2025-11-18T21:25:58.608379,VPN_ON,40.745762
2025-11-18T21:26:13.847382,VPN_ON,35.509631
2025-11-18T21:26:29.435524,VPN_ON,42.943923
2025-11-18T21:26:44.874349,VPN_ON,43.607711
2025-11-18T21:27:00.453260,VPN_ON,42.618705
2025-11-18T21:27:20.898848,VPN_OFF,48.207124
2025-11-18T21:27:36.444500,VPN_OFF,47.548469
2025-11-18T21:27:52.315610,VPN_OFF,33.537329
2025-11-18T21:28:07.658764,VPN_OFF,44.416977
2025-11-18T21:28:23.292720,VPN_OFF,48.426242
2025-11-18T21:28:38.848512,VPN_OFF,48.516992
2025-11-18T21:28:54.541682,VPN_OFF,45.107968
2025-11-18T21:29:10.105700,VPN_OFF,48.806959
2025-11-18T21:29:25.688644,VPN_OFF,48.440847
2025-11-18T21:29:41.295434,VPN_OFF,47.193344
2025-11-18T21:29:57.804105,VPN_OFF,46.717437
2025-11-18T21:30:13.474423,VPN_OFF,47.805544
2025-11-18T21:30:29.107311,VPN_OFF,48.7626
2025-11-18T21:30:44.423478,VPN_OFF,42.099064
2025-11-18T21:30:59.847540,VPN_OFF,49.140345
2025-11-18T21:31:15.388780,VPN_OFF,48.766212
2025-11-18T21:40:22.576727,VPN_ON,32.548912
2025-11-18T21:40:37.663147,VPN_ON,32.175735
2025-11-18T21:40:52.992364,VPN_ON,37.038453
2025-11-18T21:41:08.231217,VPN_ON,33.529582
2025-11-18T21:41:23.517767,VPN_ON,30.766793
2025-11-18T21:41:38.898637,VPN_ON,37.426524
2025-11-18T21:41:54.151259,VPN_ON,35.533951
2025-11-18T21:42:09.378957,VPN_ON,28.128647
2025-11-18T21:42:24.654542,VPN_ON,32.980514
2025-11-18T21:42:39.864076,VPN_ON,25.264493
2025-11-18T21:42:55.119933,VPN_ON,29.100033
2025-11-18T21:43:10.935119,VPN_ON,44.244806
2025-11-18T21:43:26.239808,VPN_ON,43.045801
2025-11-18T21:43:41.630280,VPN_ON,42.290556
2025-11-18T21:43:57.095192,VPN_ON,44.18347
2025-11-18T21:44:12.521134,VPN_ON,43.050849
2025-11-18T21:44:32.970057,VPN_OFF,48.894228
2025-11-18T21:44:48.646653,VPN_OFF,47.17127
2025-11-18T21:45:04.151566,VPN_OFF,48.556861
2025-11-18T21:45:19.560224,VPN_OFF,47.054561
2025-11-18T21:45:34.999671,VPN_OFF,48.317834
2025-11-18T21:45:50.432735,VPN_OFF,48.536594
2025-11-18T21:46:06.216304,VPN_OFF,38.953609
2025-11-18T21:46:21.686853,VPN_OFF,46.660559
2025-11-18T21:46:37.248359,VPN_OFF,46.422466
2025-11-18T21:46:52.900287,VPN_OFF,39.691084
2025-11-18T21:47:08.576821,VPN_OFF,40.546355
2025-11-18T21:47:24.148238,VPN_OFF,45.741793
2025-11-18T21:47:39.725519,VPN_OFF,46.297361
2025-11-18T21:47:55.326261,VPN_OFF,46.748668
2025-11-18T21:48:10.872407,VPN_OFF,44.982145
2025-11-18T21:48:26.525684,VPN_OFF,45.265137
2025-11-18T21:57:46.913142,VPN_ON,44.485407
